longitude,latitude,PM25_Mean_4Months,dbscan_cluster
111.2,26.0,5.306250095367432,1
32.8,16.8,5.167857204164777,1
105.2,18.8,4.2370000743865965,1
-76.8,36.4,1.7383333623409272,0
69.6,49.6,1.7391667008399962,1
129.2,53.6,1.1258333563804626,1
6.8,50.8,2.3266667167345685,1
104.4,58.4,0.9958333452542623,1
86.4,60.0,0.8500000109275182,1
80.8,62.0,0.8883333474397659,1
48.8,-15.2,1.0091666917006175,1
13.2,10.8,2.3825000365575155,1
-8.8,6.0,2.1575000445048014,1
139.2,75.6,1.486666695276896,1
-54.4,-22.8,2.8403846621513367,0
24.4,-1.2,2.0233333865801493,1
-48.4,-2.4,2.3983333905537925,0
-60.0,-18.8,4.12333345413208,0
-66.0,-28.4,2.445000048478444,0
140.8,-30.4,1.3691666960716247,1
-55.2,2.4,1.4741666873296102,0
0.4,33.6,3.3479167173306146,1
126.8,38.0,2.4215517783987113,1
34.4,48.4,1.7475000242392222,1
-108.4,50.0,2.6767857585634505,0
-84.0,44.0,1.6150000274181366,0
-71.6,48.8,1.0116666863361994,0
74.0,59.6,1.0775000234444936,1
45.2,66.0,0.8708333571751913,1
20.8,66.4,0.6766666740179061,1
104.4,62.4,0.9400000154972077,1
85.2,73.6,1.712068981137769,1
22.8,-16.4,4.49761912936256,1
-82.8,75.2,2.375000051657359,0
118.0,1.6,1.6600000301996867,1
25.6,2.4,1.8191666960716248,1
48.0,80.8,1.4375000198682149,1
-82.8,21.6,1.6508333524068197,0
29.2,30.4,3.058333384990692,1
-0.4,42.0,1.615000029404958,1
61.6,38.0,2.9758621330918937,1
-99.6,34.4,2.0158333857854207,0
-123.2,45.2,1.639655195433518,0
31.6,15.6,5.073684328480771,1
-114.4,53.2,2.7883929312229156,0
118.4,69.6,1.0941666901111602,1
60.4,64.4,0.8041666756073634,1
-70.8,63.2,1.0875000139077504,0
-93.2,66.8,1.095000026623408,0
102.8,62.0,0.9766666769981385,1
110.0,55.6,1.4733333587646484,1
-120.4,68.0,1.146666685740153,0
-108.0,64.0,0.8575000216563543,0
-98.8,62.4,0.8991666883230209,0
-61.2,-22.0,3.4647727662866767,0
102.0,74.0,1.584166689713796,1
44.8,-18.8,1.9416667024294536,1
-56.8,-12.4,4.597222301695082,0
-48.8,80.0,1.8325000166893006,0
147.2,-28.4,1.1508333484331768,1
-3.6,7.2,1.7041666944821676,1
111.6,2.8,1.1425000270207724,1
116.8,-34.0,0.8550000170866648,1
112.4,25.6,5.940000057220459,1
-116.0,34.8,1.7175000429153442,0
84.0,41.2,3.863157975046258,1
100.4,18.0,2.0325000365575154,1
132.4,53.6,0.9941666851441066,1
4.4,18.0,4.721250128746033,1
122.8,41.6,4.023913108784219,1
-5.2,34.0,2.755833379427592,1
58.8,40.8,2.940000037352244,1
-92.4,45.6,1.6008333742618561,0
96.4,50.8,1.9658333758513133,1
116.4,71.6,1.2791666785875957,1
121.6,58.4,0.9291666746139526,1
-102.0,59.2,1.022500025232633,0
-42.0,72.8,1.6233333547910054,0
-70.0,-3.6,2.505172454077622,0
22.8,8.0,2.0383333643277486,1
20.8,-31.2,2.4341667036215466,1
38.8,23.2,4.719565308612326,1
13.2,20.8,4.355208406845729,1
88.8,33.6,1.3975000143051148,1
67.2,53.6,1.5683333416779837,1
30.8,16.0,5.400000095367432,1
-100.0,17.6,1.918333355585734,0
33.6,48.8,1.7750000298023223,1
-13.6,16.0,3.538000078201294,1
157.2,52.4,0.8983333508173624,1
8.4,52.8,2.149166711171468,1
160.4,54.8,0.8133333474397659,1
-83.2,67.2,1.1316666881243387,0
123.2,8.4,1.8958333492279054,1
