longitude,latitude,PM25_Mean_4Months,cluster
111.2,26.0,5.306250095367432,2
32.8,16.8,5.167857204164777,2
105.2,18.8,4.2370000743865965,2
-76.8,36.4,1.7383333623409272,3
69.6,49.6,1.7391667008399962,0
129.2,53.6,1.1258333563804626,0
6.8,50.8,2.3266667167345685,0
104.4,58.4,0.9958333452542623,0
86.4,60.0,0.8500000109275182,0
80.8,62.0,0.8883333474397659,0
48.8,-15.2,1.0091666917006175,4
13.2,10.8,2.3825000365575155,1
-8.8,6.0,2.1575000445048014,1
139.2,75.6,1.486666695276896,0
-54.4,-22.8,2.8403846621513367,1
24.4,-1.2,2.0233333865801493,1
-48.4,-2.4,2.3983333905537925,1
-60.0,-18.8,4.12333345413208,1
-66.0,-28.4,2.445000048478444,1
140.8,-30.4,1.3691666960716247,4
-55.2,2.4,1.4741666873296102,1
0.4,33.6,3.3479167173306146,2
126.8,38.0,2.4215517783987113,0
34.4,48.4,1.7475000242392222,0
-108.4,50.0,2.6767857585634505,3
-84.0,44.0,1.6150000274181366,3
-71.6,48.8,1.0116666863361994,3
74.0,59.6,1.0775000234444936,0
45.2,66.0,0.8708333571751913,0
20.8,66.4,0.6766666740179061,0
104.4,62.4,0.9400000154972077,0
85.2,73.6,1.712068981137769,0
22.8,-16.4,4.49761912936256,2
-82.8,75.2,2.375000051657359,3
118.0,1.6,1.6600000301996867,4
25.6,2.4,1.8191666960716248,1
48.0,80.8,1.4375000198682149,0
-82.8,21.6,1.6508333524068197,3
29.2,30.4,3.058333384990692,2
-0.4,42.0,1.615000029404958,0
61.6,38.0,2.9758621330918937,2
-99.6,34.4,2.0158333857854207,3
-123.2,45.2,1.639655195433518,3
31.6,15.6,5.073684328480771,2
-114.4,53.2,2.7883929312229156,3
118.4,69.6,1.0941666901111602,0
60.4,64.4,0.8041666756073634,0
-70.8,63.2,1.0875000139077504,3
-93.2,66.8,1.095000026623408,3
102.8,62.0,0.9766666769981385,0
110.0,55.6,1.4733333587646484,0
-120.4,68.0,1.146666685740153,3
-108.0,64.0,0.8575000216563543,3
-98.8,62.4,0.8991666883230209,3
-61.2,-22.0,3.4647727662866767,1
102.0,74.0,1.584166689713796,0
44.8,-18.8,1.9416667024294536,1
-56.8,-12.4,4.597222301695082,2
-48.8,80.0,1.8325000166893006,3
147.2,-28.4,1.1508333484331768,4
-3.6,7.2,1.7041666944821676,1
111.6,2.8,1.1425000270207724,4
116.8,-34.0,0.8550000170866648,4
112.4,25.6,5.940000057220459,2
-116.0,34.8,1.7175000429153442,3
84.0,41.2,3.863157975046258,2
100.4,18.0,2.0325000365575154,4
132.4,53.6,0.9941666851441066,0
4.4,18.0,4.721250128746033,2
122.8,41.6,4.023913108784219,2
-5.2,34.0,2.755833379427592,2
58.8,40.8,2.940000037352244,2
-92.4,45.6,1.6008333742618561,3
96.4,50.8,1.9658333758513133,0
116.4,71.6,1.2791666785875957,0
121.6,58.4,0.9291666746139526,0
-102.0,59.2,1.022500025232633,3
-42.0,72.8,1.6233333547910054,3
-70.0,-3.6,2.505172454077622,1
22.8,8.0,2.0383333643277486,1
20.8,-31.2,2.4341667036215466,1
38.8,23.2,4.719565308612326,2
13.2,20.8,4.355208406845729,2
88.8,33.6,1.3975000143051148,0
67.2,53.6,1.5683333416779837,0
30.8,16.0,5.400000095367432,2
-100.0,17.6,1.918333355585734,1
33.6,48.8,1.7750000298023223,0
-13.6,16.0,3.538000078201294,2
157.2,52.4,0.8983333508173624,0
8.4,52.8,2.149166711171468,0
160.4,54.8,0.8133333474397659,0
-83.2,67.2,1.1316666881243387,3
123.2,8.4,1.8958333492279054,4
-46.4,62.4,1.8450000484784443,3
-74.0,-4.0,2.0607143214770725,1
120.4,-30.8,1.0716666837533315,4
-43.2,77.2,1.5950000166893006,3
26.8,24.0,2.72327590399775,2
95.2,26.0,2.365833361943563,0
72.4,38.8,1.9225000222524007,0
110.0,34.0,4.2500000975348735,2
51.2,53.2,1.679166704416275,0
140.0,71.6,1.1033333440621693,0
71.2,55.2,1.8366666913032532,0
-70.8,4.8,1.7008333603541057,1
-132.4,55.6,0.9200000166893005,3
40.4,57.2,1.5583333591620128,0
29.2,56.4,1.1016666849454244,0
-136.0,64.4,1.1108333587646484,3
-177.2,66.0,1.3350000262260437,3
-103.6,66.4,1.0508333504199983,3
-57.6,-28.0,1.8956896683265423,1
-78.4,-9.2,2.0708333611488343,1
94.0,22.0,1.9475000182787576,0
86.8,36.0,1.7075000246365866,0
100.4,14.8,3.109166701634725,2
46.8,59.2,1.1291666944821677,0
102.0,59.2,0.9133333464463552,0
-154.8,58.8,1.0125000119209289,3
51.2,66.4,0.9675000190734864,0
-132.4,64.8,1.148333352804184,3
-176.4,67.2,1.9100000341733296,3
-142.4,64.8,1.127500017484029,3
86.4,67.6,1.8491666952768961,0
-102.8,60.8,1.3366666932900746,3
-71.6,-9.2,3.028409172188152,1
-117.2,73.2,1.341666692495346,3
-88.8,75.6,1.0533333579699198,3
-64.4,-4.4,3.0346154203781714,1
-85.6,11.6,1.9300000389417014,1
126.8,-18.8,1.9966666936874389,4
-59.6,78.4,1.8758333643277487,3
-70.0,-4.4,2.451851906599822,1
127.2,37.6,2.575862132269761,0
72.0,71.2,1.510833352804184,0
-46.8,68.4,1.710000036160151,3
-110.4,63.6,1.0583333482344945,3
107.2,58.8,1.2266666889190674,0
-50.0,64.8,1.391666688521703,3
-141.2,64.0,1.00916668176651,3
95.6,70.8,1.8833333611488343,0
146.8,-21.2,1.4300000190734863,4
-40.8,75.2,1.6050000190734863,3
-46.8,-22.4,3.5444444859469377,1
37.2,-12.8,2.128333365917206,1
20.4,-14.0,5.4791667858759565,2
117.2,-34.0,0.8808333436648051,4
112.8,26.8,5.710000038146973,2
31.6,21.6,3.6250000596046448,2
-78.4,34.8,2.1858333706855775,3
100.8,37.2,2.7250000556310017,0
-96.4,40.8,2.009166701634725,3
74.4,44.4,2.0566666960716247,0
68.0,46.8,1.7708333690961202,0
104.4,70.0,1.1833333591620128,0
-124.0,52.8,1.5191666901111602,3
-123.6,66.0,0.8000000228484472,3
114.8,-2.8,2.2350000500679017,4
2.8,9.6,1.64333336353302,1
15.2,-20.8,3.5933334112167357,1
40.0,1.6,1.9423077198175283,1
-100.4,22.4,1.7175000230471293,3
66.0,28.8,3.602500081062317,2
-100.4,31.2,1.9550000389417013,3
-122.4,49.6,1.9169643308435167,3
71.2,46.4,1.8091666936874389,0
42.0,44.0,2.1691667159398396,0
30.0,12.4,3.8191667556762696,2
92.4,60.4,0.6925000131130219,0
-3.2,11.2,2.0316667040189107,1
-70.4,56.8,0.9433333476384481,3
-71.6,65.2,1.0708333512147268,3
-48.0,-20.4,3.759615448805002,1
-60.4,80.0,2.194166696071625,3
29.6,6.0,1.6266667008399964,1
49.2,22.0,5.027272809635509,2
15.2,23.2,2.7750000220078688,2
50.4,20.8,4.593421145489342,2
6.4,20.0,3.8086957309557046,2
52.8,33.6,5.741666714350383,2
-82.0,38.4,1.5575000206629435,3
48.4,59.6,1.059166685740153,0
-106.4,53.6,1.6500000234307914,3
-29.2,68.4,2.1616667032241823,3
-163.6,60.0,1.2225000123182932,3
61.2,64.4,0.9266666829586029,0
127.6,-22.4,1.4900000234444937,4
-36.0,74.0,1.6925000270207724,3
42.4,2.0,2.0916667072861284,1
20.0,4.0,1.6175000230471293,1
25.6,29.6,2.810185264658045,2
59.6,28.0,3.314000072479248,2
-4.0,37.2,1.7408333659172057,0
8.0,36.0,3.490000077088674,2
69.2,40.8,3.6008333841959637,2
10.8,18.0,5.170000123977661,2
18.8,51.2,2.2066667040189105,0
90.8,51.2,1.9408333778381348,0
105.2,54.0,1.5400000274181367,0
91.6,63.2,0.9066666861375173,0
27.6,-5.2,3.7144231429466834,2
152.8,-26.0,1.2675000290075937,4
23.2,-2.8,2.5422414253497947,1
-103.2,33.6,1.8908333738644918,3
107.2,53.2,1.5066666861375173,0
46.0,40.8,2.655833359559377,0
6.0,15.2,3.793333411216736,2
-162.8,67.6,1.037500015894572,3
104.8,11.2,2.8283333937327066,2
117.2,65.6,0.9425000170866649,0
-0.4,8.8,1.6350000222524008,1
-63.6,-23.2,2.7705357372760773,1
58.0,74.8,2.1841667155424753,0
19.6,-4.0,3.2477273399179634,1
20.4,-30.4,2.4163793222657564,1
2.8,25.6,3.7250000991319356,2
96.4,18.8,2.1450000603993735,0
46.0,36.4,2.3568965730995965,0
-92.8,41.6,1.8391667048136393,3
99.2,17.6,2.2425000270207724,4
-99.6,40.8,2.27500003973643,3
-6.0,39.6,1.3441666841506958,0
31.6,54.4,1.25583336353302,0
-83.2,69.6,1.2316666901111604,3
34.4,68.4,0.7841666708389918,0
-106.0,61.2,1.040000010530154,3
-68.8,10.4,2.877500033378601,1
19.2,11.2,2.510833378632863,1
147.2,65.2,1.2100000242392221,0
-148.4,66.4,0.7975000063578288,3
82.8,62.4,0.8675000111262003,0
33.2,-9.6,2.727500053246816,1
22.4,5.2,1.7850000262260437,1
-64.0,-28.0,2.3366667151451113,1
6.0,10.0,2.5975000341733296,1
30.8,-25.6,3.2675000627835593,1
117.2,28.0,4.860937595367432,2
22.8,18.8,3.078703769931087,2
73.6,30.8,5.177777899636163,2
139.6,37.6,1.6383333722750346,0
38.0,17.6,4.5560000705718995,2
39.2,44.4,1.4858333508173625,0
-103.2,41.6,2.602500065167745,3
-162.4,69.2,1.025000015894572,3
23.6,68.4,0.6808333456516266,0
89.6,67.2,1.7146552061212474,0
56.4,62.4,0.8858333478371302,0
138.0,-18.4,1.6791666944821675,4
41.2,62.4,0.9208333512147268,0
56.0,65.2,0.9025000154972076,0
121.2,-32.0,1.0300000210603077,4
100.0,34.0,2.4225000460942585,0
105.2,28.8,4.491666773955028,2
-101.2,37.2,2.0366666952768964,3
12.4,46.0,2.264166700839996,0
135.6,46.0,1.7158333798249563,0
123.2,43.6,2.8520833551883698,0
-152.0,69.2,1.1666666865348816,3
103.6,69.6,1.0441666841506958,0
14.0,16.4,4.714583396911621,2
-123.2,65.2,1.0400000154972076,3
-33.2,81.6,2.3125000397364297,3
-58.8,-28.8,1.7016667008399964,1
21.6,2.4,1.7391666849454244,1
17.6,26.8,3.1818966002299867,2
97.6,26.8,2.055833355585734,0
-71.6,53.2,0.8883333543936411,3
36.4,35.2,2.8233333826065063,2
-104.4,45.6,2.427000026702881,3
84.8,51.6,1.7025000194708506,0
18.0,51.2,2.4650000373522443,0
42.0,10.8,3.4758929227079665,2
34.4,67.6,1.196666677792867,0
178.4,68.8,1.5500000218550365,0
144.0,64.0,1.2008333504199982,0
32.8,-20.4,2.6791667222976683,1
82.0,73.6,1.1216666837533316,0
46.0,-17.2,1.3566666901111604,4
28.0,-12.8,4.921153912177453,2
-56.8,-5.2,4.022222298162955,2
-84.4,82.0,2.2033333659172056,3
110.0,30.4,4.80869572058968,2
99.2,30.0,1.7116666913032532,0
-95.2,30.8,2.44916672706604,3
55.2,20.8,4.658750033378601,2
12.8,19.6,5.2600000381469725,2
109.2,44.4,2.3206896781921387,0
18.4,51.2,2.133333373069763,0
-98.0,18.0,1.8258333484331766,1
-97.2,43.2,1.8666667183240255,3
96.4,64.4,0.9291666785875956,0
34.0,12.0,2.5325000484784446,1
124.4,-23.6,1.4100000162919362,4
101.2,18.8,2.280833371480306,4
8.8,18.0,4.22700008392334,2
58.0,50.0,1.696666693687439,0
90.4,46.4,3.672115454306969,2
23.6,56.0,1.3816666920979819,0
101.2,52.4,1.680833359559377,0
-128.0,58.8,0.8508333484331767,3
-137.6,58.8,1.6408333639303843,3
-27.6,69.2,2.038333360354106,3
-138.0,60.0,1.3425000270207723,3
94.0,37.2,3.4777778651979236,2
83.6,45.2,3.219166707992554,2
-92.8,42.8,1.9266667087872824,3
-117.2,49.2,2.2815789925424674,3
29.6,51.2,1.8850000421206157,0
-122.8,42.4,2.3793103859342377,3
-99.6,50.4,1.550000019868215,3
10.0,14.4,4.198077000104464,2
44.4,13.2,5.031730871934157,2
71.6,62.0,0.9650000214576722,0
97.2,58.4,0.959166685740153,0
8.8,5.6,1.887500035762787,1
92.4,28.8,1.8650000135103861,0
-14.8,18.4,3.3687500581145287,2
-7.2,52.4,1.4483333667119345,3
45.6,49.6,1.9183333615461986,0
-6.0,43.2,1.284166689713796,0
73.6,57.2,1.2708333512147267,0
118.8,64.4,0.9250000158945719,0
35.6,63.6,0.8825000077486038,0
-2.0,10.0,1.9491667032241822,1
-138.4,65.6,1.0300000111262004,3
-58.4,80.8,2.4975000520547233,3
-33.2,83.6,1.2141666928927104,3
61.6,36.8,3.164655225030307,2
103.2,44.4,2.3950000524520876,0
-90.8,34.0,2.506666723887126,3
-102.4,46.0,2.545833365122477,3
20.8,50.4,2.2916666984558107,0
-44.4,69.2,1.6316666920979819,3
170.4,64.4,1.150000019868215,0
-64.8,6.0,1.4725000182787578,1
168.4,68.0,1.3233333508173624,0
29.2,7.2,1.7441666841506958,1
6.0,6.0,1.725000023841858,1
7.2,6.4,2.95500005086263,1
-63.6,-15.6,5.095000076293945,2
37.6,30.8,3.3475000580151875,2
-77.6,20.8,1.640833350022634,3
47.6,54.4,1.7375000238418579,0
38.8,5.6,1.3891666968663534,1
-104.8,60.4,1.1931034562916591,3
-50.0,65.2,1.7966667095820108,3
112.8,66.8,0.9958333551883698,0
-148.4,70.0,1.525833362340927,3
24.0,-12.8,5.544444508022732,2
26.0,-24.4,3.5450000683466594,1
21.2,-26.8,3.2240000700950624,1
36.8,0.8,1.5225000222524008,1
142.8,-36.0,1.029166680574417,4
37.6,34.8,2.7758333921432494,2
112.8,56.4,1.325833358367284,0
132.4,52.8,1.2500000298023224,0
34.8,14.8,3.827500089009603,2
-75.2,59.6,1.0425000190734863,3
121.6,65.6,0.8758333464463551,0
-56.8,-24.8,2.7534483177908537,1
124.4,-18.4,1.7825000286102295,4
30.4,18.8,4.554166694482167,2
117.2,28.4,4.81538464472844,2
20.4,20.8,2.812037061761927,2
14.0,16.8,4.832142983164106,2
21.6,17.6,3.5182693233856788,2
113.6,54.0,1.384166697661082,0
50.0,67.6,1.250000011920929,0
-125.6,66.8,0.7516666760047277,3
-31.6,71.6,1.6733333508173625,3
31.2,-10.0,4.569642918450492,2
120.8,-8.4,1.9116666913032532,4
105.2,70.8,1.2058333575725555,0
106.4,76.0,1.513333358367284,0
94.4,39.2,3.219565246416175,2
-89.2,32.4,2.1475000301996867,3
-6.0,40.4,1.2616666972637176,0
-156.4,71.2,1.0441666881243388,3
-90.0,64.4,1.2016666928927104,3
27.2,-13.2,4.792187541723251,2
32.8,38.8,2.0333333532015483,0
67.2,36.0,3.1814815689016274,2
-60.4,52.4,0.7750000208616257,3
32.4,69.2,0.957500014702479,0
178.8,62.4,1.0041666825612385,0
39.2,10.0,3.383333381017049,2
81.6,67.2,1.546666693687439,0
26.0,8.4,2.1608333706855776,1
-65.6,-27.2,2.7175000429153444,1
129.2,43.6,2.1142857543059757,0
43.2,49.2,1.739166694879532,0
-76.8,58.4,1.0466666797796884,3
27.6,67.2,0.8450000117222468,0
163.2,68.4,0.8916666805744171,0
-59.2,-17.2,3.700000081743513,1
43.6,12.8,5.38690489814395,2
122.8,57.6,1.209166693687439,0
132.0,-22.0,1.4416666905085245,4
-98.4,78.8,1.3200000206629434,3
-54.0,-32.8,1.4708333492279053,1
75.2,46.8,1.8733333667119345,0
-81.6,48.8,1.0483333458503088,3
47.6,55.2,1.57166668176651,0
-80.0,-4.8,2.308333396911621,1
40.0,-10.8,1.4766666928927104,1
45.2,-24.4,1.1750000258286795,4
134.4,-23.2,1.7083333571751913,4
21.6,-22.8,3.525000073291637,1
14.4,-1.6,2.455172460654686,1
96.4,39.2,2.6983333627382913,0
37.6,17.6,4.89444453186459,2
105.6,42.0,2.9281250139077506,0
4.4,17.2,4.65681825984608,2
-117.2,70.0,1.1366666773955028,3
9.6,55.6,1.7475000242392222,0
82.0,62.8,0.9033333539962769,0
78.0,63.6,1.1116666913032531,0
-7.2,30.4,2.345370398627387,1
-116.0,32.0,1.509166693687439,3
68.0,33.2,2.5925000588099163,0
-98.0,46.0,1.6425000290075937,3
14.4,59.6,1.0066666801770527,0
112.8,58.8,1.0925000150998434,0
-54.0,-9.2,3.679347898649133,1
-62.4,7.2,1.4225000182787577,1
-54.4,-3.2,2.5910714822156087,1
10.4,16.4,5.12500015894572,2
146.8,-24.4,1.2766666948795318,4
94.8,18.8,1.6400000214576722,0
118.8,35.6,4.590277824136946,2
35.6,54.0,1.3725000321865082,0
-49.2,-26.0,2.2225000540415447,1
-51.6,1.2,1.5600000301996866,1
60.4,32.0,3.628846218952766,2
28.4,24.4,2.866666699449221,2
58.0,37.6,3.2948276626652686,2
10.8,20.0,4.4809524445306685,2
41.6,50.4,1.6191666980584463,0
89.6,43.6,3.3883333603541055,2
-118.0,66.8,0.9066666821638744,3
46.4,-22.8,1.177500021457672,4
12.4,29.2,2.886111162326954,2
-111.2,70.0,1.388333358367284,3
-148.0,67.2,0.8475000123182933,3
120.0,-28.8,1.191666688521703,4
98.4,4.0,2.85583336353302,2
-70.8,-38.0,1.709166697661082,1
76.4,22.0,4.250000071525574,2
-67.6,56.8,0.9008333484331766,3
-1.6,53.2,1.5891666889190674,0
-98.8,59.6,1.1766666779915491,3
